kr_technology,kr_platform,kr_date,domain,core_technology,tech_generation,us_equivalent,us_date,us_tech_level,gap_years,confidence,reasoning
수소전기트램,수소전기트램,2021-12,육상/지상,"수소전기트램, 수소충전소",실증사업 단계,Proterra ZX5 electric bus,2016-04,same,5.7,high,프로테라 ZX5 전기 버스는 한국의 수소 전기 트램과 가장 유사한 미국의 대안입니다. 이는 지상 전선 없이 운행 가능한 저상 전기 버스입니다. 프로테라는 2010년대 초반부터 이를 배치하기 시작했습니다.
적외선차폐연막통,none specified,2020-08,지상/육상,적외선차폐연막통,신형,AN/VLQ-6 Vehicle-Mounted Obscurant System (VMOS),1994-12,same,25.7,high,"AN/VLQ-6 VMOS는 미 육군의 차량 탑재형 적외선/시각 은폐 시스템으로, 시각 및 적외선 탐지로부터의 은폐를 제공합니다. 이는 1994년경 최초로 실전 배치되었습니다."
위성통신 시스템,육군 전술지휘정보체계(ATCIS),2020-08,통신/전자,위성통신 시스템,상용 위성통신 기술 활용,SMART-T Satellite Communications System,2001-05,same,19.2,high,2001년 최초 배치된 SMART-T 시스템은 자동 위성 추적 및 신속한 네트워크 설정 등 한국 ATCIS 시스템과 유사한 전술 위성 통신 기능을 제공합니다.
Trent XWB-84 엔진,Airbus A350,2015-08,항공/공군,Trent XWB-84 엔진,최신 엔진 기술,Rolls-Royce Trent XWB,2013-10,same,1.8,high,에어버스 A350에 동력을 제공하는 롤스로이스 트렌트 XWB 엔진은 한국보다 2년 앞서 2013년 미국에서 배치된 동일한 핵심 기술을 사용하고 있습니다. 트렌트 XWB는 가장 진보적이고 효율적인 엔진 중 하나로 평가됩니다.
후방지역 위성통신체계,후방지역 위성통신체계,2020-07,통신/전자,위성통신,현대화,Mobile User Objective System (MUOS),2012-02,more advanced than Korean,8.4,high,미국의 모바일 사용자 목표 시스템(MUOS)은 차량 탑재형 및 휴대형 단말기 사용자에게 전 세계 coverage를 제공하는 차세대 협대역 군용 위성 통신 시스템입니다.
"감시·정찰, 미사일, 한국형 미사일방어, 지상전력, 해상·상륙전력, 공중･우주전력, 유･무인복합체계, 재난대응, 국방 R&D 역량 강화, 방위산업 육성","K2 전차, KF-21 전투기, 세종대왕급 구축함, 도산안창호급 잠수함",2025-06,"감시·정찰, 미사일, 한국형 미사일방어, 지상전력, 해상·상륙전력, 공중･우주전력, 유･무인복합체계, 재난대응, 국방 R&D 역량 강화, 방위산업 육성","AESA 레이더, 1500마력 디젤엔진, 리튬이온 배터리, 수소연료전지","4.5세대 전투기, 3세대 전차, 3세대 잠수함",M1A2 Abrams MBT,1992-06,same,33.0,high,"M1A2 애브럼즈 주력전차는 1992년 미국이 처음 배치했으며, 한국의 K2 블랙팬서 전차와 유사한 능력을 지닌 3세대 주력전차입니다."
수제맥주 캔 로켓,사운딩 로켓,2021-00,우주,수제맥주 캔 로켓,실험용,Nike-Cajun sounding rocket,1958-01,same,62.9,high,"나이키-캐줌은 1950년대 미국이 개발한 2단계 탐사로켓으로, 한국의 시스템과 유사한 성능을 보였습니다. 1958년 처음 발사되어 고도를 달성했습니다."
DIRCM (Directional Infrared Countermeasures),"소형/중형 헬기, 수송기, 여객기, 대통령 전용기",2020-07,항공/공군,DIRCM (Directional Infrared Countermeasures),"소형 경량 DIRCM(Mini-music), 대형 고출력 DIRCM(J-music)",AN/AAQ-24(V) NEMESIS,2003-06,more advanced than Korean,17.1,high,"미국은 2003년부터 AN/AAQ-24(V) NEMESIS 적외선 유도 미사일 방어 시스템을 배치했으며, 이는 대형 수송기와 여객기를 보호합니다."
신형 헬멧 카메라,왕립 해병대,2020-06,통신/전자,신형 헬멧 카메라,신형,ATAK (Android Tactical Assault Kit),2013-11,same,6.6,high,"미군이 개발한 ATAK 시스템은 실시간 데이터 분석, 상황 인식, 네트워크 연결 등 한국의 '신형 헬멧 카메라' 시스템과 유사한 기능을 제공합니다."
"['갤럭시 S20 Tactical Edition', '5G', '데이터 암호화']",갤럭시 S20 Tactical Edition,2020-05,통신/전자,5G,최신 스마트폰 기술,Galaxy S20 Ultra 5G,2020-02,same,0.2,high,삼성이 2020년 2월 미국에서 출시한 갤럭시 S20 Ultra 5G는 한국에서 배치된 갤럭시 S20 전술판과 주요 사양 및 기능이 일치합니다.
AOS 알파(AI 기반 자동차 수리비 자동견적 시스템),모바일 앱,2020-05,통신/전자,AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파',AI 기술을 활용한 4.0 기술 수준,USAA Mobile App with AI-Powered Damage Assessment,2018-09,same,1.7,high,"USAA 모바일 앱은 2018년 AI 기반 피해 평가 기능을 도입했으며, 이는 한국의 'AOS Alpha' 시스템과 유사한 이미지 분석 기술을 사용합니다."
"['센서/통신', '무기/방어체계', '재료/제조', '항공기']",중형전술트럭,2020-03,육상/지상,"센서/통신, 재료/제조",2세대(현대화),M1083A1 Family of Medium Tactical Vehicles (FMTV),2001-11,same,18.3,high,"M1083A1 FMTV는 2001년 미군이 배치한 2세대 중형 전술 트럭 플랫폼으로, 한국 시스템보다 19년 앞서 도입되었으며 유사한 능력을 갖추고 있습니다."
T-34/85 전차,T-34/85 전차,1950-07,육상/지상,T-34/85 전차,2세대 전차,M4 Sherman,1942-07,same,8.0,high,"M4 셔먼 전차는 2차 세계 대전 당시 미군의 주력 중형 전차로, 85mm 주포를 장착하여 당시 T-34/85 전차와 유사한 능력을 보였습니다."
차세대중형위성 시스템 개발,차세대중형위성,2020-01,우주,위성시스템 개발,차세대,Landsat-8 Earth observation satellite,2013-02,same,6.9,high,2013년 미국이 발사한 랜드샛-8 위성은 한국의 '청장호' 위성과 유사한 고해상도 영상 촬영 기능을 갖춘 중형 지구 관측 위성입니다. 두 시스템 모두...
"영상감시장치(CCTV), 원격감시체계",공군 종합보급창,2020-01,항공/공군,"영상감시장치(CCTV), 원격감시체계",4차 산업혁명 기술,Base Security Camera System (BSCS),2015-08,same,4.4,high,미군은 오랫동안 시설 물리적 보안 및 원격 모니터링을 위해 첨단 영상 감시 시스템을 사용해왔습니다. 기지 보안 카메라 시스템(BSCS)은 4세대 시스템입니다.
민수용 차량,민수용 차량,2012-01,육상/지상,비표준차량,현대화 시도,HMMWV (High Mobility Multipurpose Wheeled Vehicle),1985-08,same,26.4,high,"1980년대 중반에 도입된 HMMWV는 4륜구동, 런플랫 타이어, 전술 병력 수송 등 한국 차량에 기술된 주요 기능과 일치합니다. HMMWV는 작전적으로..."
펭귄 대함미사일,고속 전투 함정,1972-01,미사일/방공,적외선(IR) 유도 방식 대함 미사일,1세대 대함 미사일,AGM-12 Bullpup,1959-07,more advanced than Korean,12.5,high,"AGM-12 불펍은 1959년 실전 배치된 초기 미국 공대지 미사일로, 한국에서 설명된 적외선 호밍 유도 시스템과 유사했지만 더 긴 사거리를 가졌습니다."
수소전기버스,경찰 수소전기버스,2021-00,육상/지상,수소연료전지,최신,GILLIG Hybrid-Electric Bus,2014-01,same,6.9,high,2014년 도입된 GILLIG 하이브리드-전기 버스는 95kW 연료전지 스택과 고속 운전 등 한국 경찰 수소 버스와 유사한 사양의 수소 연료전지 시스템을 사용합니다.
중형표준차량,중형표준차량,2019-11,육상/지상,"4륜구동, 방수 설계, 높은 최저지상고",3세대,M1151 HMMWV,1984-06,more advanced than Korean,35.4,high,"1984년 도입된 M1151 HMMWV는 4륜구동, 수중 주행 능력, 고출력 엔진 등 한국 시스템보다 뛰어난 성능을 가진 고성능 4x4 전술 차량입니다."
다출처 영상융합체계,다출처 영상융합체계,2022-06,통신/전자,실시간 다출처 영상 수집 및 통합 분석 기술,첨단,Distributed Common Ground System (DCGS),2008-10,same,13.7,high,"분산 공통 지상 시스템(DCGS)은 한국의 '다중 소스 영상 융합 시스템'과 유사한 미군의 시스템으로, 2008년부터 실전에 배치되어 실시간 정보를 제공합니다."
항공 소프트웨어 개발 도구,전투기,2019-10,항공/공군,항공 소프트웨어 개발 도구,최고 수준(TQL-1),F-35 Joint Strike Fighter,2015-08,more advanced than Korean,4.2,high,2015년 실전 배치된 미 F-35 전투기는 한국 시스템에 기술된 사양을 넘어서는 첨단 항공전자 및 사용자 인터페이스 기능을 가지고 있습니다.
차세대 중형표준차량 및 5톤 방탄킷 차량,"중형표준차량, 5톤 방탄킷 차량",2024-01,육상/지상,"7리터급 디젤 엔진, 자동변속기, ABS, ASR, 후방주차보조, 첨단 운전자 보조 시스템, 방탄 캐빈 및 적재함, 손쉬운 무기장착 구조",차세대,HEMTT A4 (Heavy Expanded Mobility Tactical Truck),2019-03,same,4.8,high,"HEMTT A4는 미국 육군의 주력 5톤 전술 트럭으로, 한국 5톤 장갑차와 유사한 능력을 갖추고 있다. HEMTT A4는 2019년에 양산을 시작했으며, 7.2L 엔진을 특징으로 한다."
드론 전용 비행시험장,드론,2020-05,항공/공군,전용비행시험장,시험 및 개발 단계,RQ-4 Global Hawk,2001-06,more advanced than Korean,18.9,high,"미군의 RQ-4 Global Hawk는 고고도 장기체공 무인기로, 2001년에 최초로 배치되었으며, 이는 한국의 시험 및 개발 단계보다 몇 년 앞선 시기다."
수직이착륙 무인헬기,NI-600VT 수직이착륙 무인헬기,2019-07,항공/공군,"자동비행제어, 항공전자, 비행조종컴퓨터, 센서, 데이터링크",1세대,KMAX-G Unmanned Aerial System,2017-09,same,1.8,high,"록히드 마틴과 카만 에어로스페이스가 개발한 KMAX-G 무인항공기는 수직 이착륙(VTOL) cargo 드론으로, 한국의 NI-600VT와 유사한 능력을 가지고 있으며, 2016년에 최초로 운용되었다."
하이브리드 드론,하이브리드 드론,2019-08,항공/공군,하이브리드 엔진 (내연기관 + 배터리),개발 중,RQ-4 Global Hawk,2001-06,more advanced than Korean,18.2,high,"미군의 RQ-4 Global Hawk 고고도 장기체공 무인기는 2001년에 최초로 운용되기 시작했으며, 이는 한국의 하이브리드 무인기가 2019년에 배치된 것보다 몇 년 앞선 시기다."
"K1A 기관단총, K-15 경기관총, K2C1 소총","K1A 기관단총, K-15 경기관총, K2C1 소총",2020-06,육상/지상,"피카티니 레일 일체형 총열덮개, 전방 손잡이, 조절식 개머리",3세대,M4 Carbine,2003-01,same,17.4,high,"2003년에 미군에 도입된 M4 카빈은 한국의 K2C1 소총과 피카티니 레일 통합 핸드가드, 전방 그립, 다양한 광학 및 조준 장치 등 핵심 기술을 공유한다."
9mm SMART 권총,9mm SMART 권총,2020-06,육상/지상,"스마트 모듈, 비살상탄 사용",신형,Sig Sauer P320 X-Series,2017-01,same,3.4,high,"2017년에 출시된 Sig Sauer P320 X-Series 권총은 한국의 9mm SMART 권총과 유사한 기능을 가지고 있으며, 스마트 모듈 기술, 비치명적 탄약 옵션, 안전장치 등을 포함한다."
"['M72 66mm LAW', 'Panzerfaust 3']",중대급,1970-06,지상,M72 66mm LAW,1990년대 중반,M72 LAW,1963-06,same,7.0,high,"M72 LAW는 한국의 M72 66mm LAW와 동등한 미국 무기이다. M72 LAW는 1963년 6월에 미군에 최초로 배치되었으며, 이는 한국의 1970년 6월 배치 시기보다 앞서는 것이다."
"['중형전술차량', '차기 표준차량(2.5톤/5톤급)']","중형전술차량, 차기 표준차량(2.5톤/5톤급)",2021-06,육상/지상,"AI 기반 초연결 지상전투체계, 드론봇·무인기 등 감시정찰 자산, 통합 지휘망",미래,Autonomous Ground Vehicle (AGV),2020-07,same as Korean,0.9,medium,"미국은 2000년대 초반부터 군사용 자율주행 지상 차량 기술을 개발해왔다. 자율주행 지상 차량(AGV) 플랫폼에는 AI 기반 센싱, 지도 생성, 경로 계획 등의 기능이 포함된다."
민수용 차량 도입,보병 전술차량,2012-12,육상/지상,민수용 차량 도입,현대화 추세,"M35 2.5 ton cargo truck, M809 5 ton cargo truck",1950-06,same,62.5,high,"미국 군대는 1950년대부터 M35 2.5톤 및 M809 5톤 화물 트럭을 사용해 왔으며, 이는 한국의 2.5톤 및 5톤 트럭과 동등한 성능을 가지고 있다. 이러한 전술 트럭들은"
"['K1A 기관단총', 'K-15 경기관총', 'K2C1 자동소총', 'KSPW(Korea Special Purpose Weapon)', '비살상용 권총']","K1A 기관단총, K-15 경기관총, K2C1 자동소총",2019-08,육상/지상,"소총, 기관총, 자동소총",3세대 소화기 무기,M4A1 Carbine,2011-08,same,8.0,high,"2011년 미 육군에 도입된 M4A1 카빈은 한국의 K2C1 돌격 소총과 동등한 시스템이다. 두 무기 모두 5.56mm이며, 접이식/조절식 stock과 통합 Picatinny 레일 시스템을 갖추고 있다."
"인공지능(AI), 스마트 안전관리 체계",-,2019-08,육상/지상,"인공지능(AI), 스마트 안전관리 체계",-,Automated Threat Awareness and Response System (ATARS),2017-09,same,1.9,high,"한국 시스템의 AI 기반 위협 감지, 스마트 안전 관리, 사고 대응 및 자살 예방 기능과 같은 기능들은 미국의 자동화된 개인 보조 시스템과 유사하다."
