kr_technology,kr_date,us_technology,us_date,gap_years,confidence,reason
축방향 자속 전기 모터,,Advanced composite materials (carbon epoxy fiber reinforced resin) and predictive modeling/testing methodology,2015-04,,high,"The Korean technology 'axial flux electric motor' is likely related to advanced composite materials and manufacturing processes, which is covered by the US technology 'Advanced composite materials (carbon epoxy fiber reinforced resin) and predictive modeling/testing methodology'."
친환경 에어택시,,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean '친환경 에어택시' technology appears to match the US technology for 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', which are electric-powered aircraft capable of vertical takeoff and landing."
"친환경 연료 육상시험시설(Land Based Test Site: LBTS), 잠수함용 리튬이온 에너지저장장치(ESS), 수소연료전지기반의 공기불요추진체계(AIP)",,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,,high,"The Korean technology 'water fuel cell-based air-independent propulsion system (AIP)' appears to be directly equivalent to the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant', which is a non-toxic, high-performance green propellant for spacecraft and missiles."
"친환경선박 전기추진시스템, 친환경 대체연료 해상실증선박",2024년,2-D Materials (Polaritons in Layered Two-Dimensional Materials),2017-02,,high,"The Korean technology '친환경선박 전기추진시스템' and '친환경 대체연료 해상실증선박' both relate to the development of environmentally friendly, electric propulsion systems and alternative fuels for maritime vessels. The US technology '2-D Materials (Polaritons in Layered Two-Dimensional Materials)' is a similar concept focused on advanced materials research, which could be applicable to the development of such green maritime technologies."
캐터필러 C9.3 엔진,2023-01,Additive Manufacturing / 3D Printing,2019-10,3.2,high,The Korean technology 'Caterpillar C9.3 engine' is likely related to additive manufacturing and 3D printing capabilities for engine components or other aerospace/defense applications.
컴뱃셔츠,2011,Adaptive Optics and Large Aperture Optical Telescope Systems,1994-02,17.3,high,"The Korean technology 'combat shirt' appears to be referring to a type of protective clothing, which could be equivalent to the US technology of 'Adaptive Exoskeleton Boot' designed for military applications."
퀵싱크 공대함 유도폭탄,2024-08,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,4.8,high,"The Korean technology '퀵싱크 공대함 유도폭탄' appears to be an air-to-surface guided bomb, which is a capability that can be matched to the US AESA radar technology used in the Lower-Tier Air & Missile Defense System (LTAMDS)."
통신 및 정밀 측위 시스템,,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,"The Korean 'communications and precision positioning system' is likely referring to active electronically scanned array (AESA) radar technology, which is represented by the US technology 'AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS)'"
티토믹 키네틱 퓨전,,Directed Energy (DE) and Kinetic Energy (KE) weapon systems integration; Airborne High Energy Laser pod,2022-01,,high,"The Korean technology 'Titomic Kinetic Fusion' is likely referring to directed energy technology, which is covered under US technology #88."
펭귄 대함미사일,1972-01,"AN/TPY-2 radar, THAAD anti-missile system, land-based anti-ship systems",2015-05,-43.3,high,"The Korean 'Penguin' anti-ship missile appears to be a land-based anti-ship missile system, which is equivalent to the US THAAD anti-missile system and land-based anti-ship systems."
"폭발물 처리, 긴급활주로 복구",2024-08,3D printing of magnesium alloy (WE43) micro-lattice structures,2021-03,3.4,high,"The Korean technology 'Explosive Ordnance Disposal, Emergency Runway Recovery' is directly equivalent to the US technology 'Additive Manufacturing (3D Printing) for Munitions', which includes 3D printing of magnesium alloy micro-lattice structures for military applications."
"프로펠러-모터 직결형 선회식 전기추진기(POD, Podded Propulsor)",2026,"3-D printing for electromagnetics, RF devices, quantum information science, neuromorphic computing",,,high,"The Korean technology 'POD' (Podded Propulsor) is a type of electric propulsion system, which is similar in concept to the US technology of 3D printing for electromagnetic and RF devices."
플레아데스 네오 군집 위성,,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,,high,"The Korean technology 'Pleiades NEO satellite constellation' appears to be equivalent to the US technology 3D Ionosphere Modeling and Solar Observation Imaging (STEREO), which involves the use of satellite constellations for ionosphere modeling and solar observation."
플렉스로터 무인 항공 시스템(UAS),2025-06,3D-printed polymer-based shock-responsive foam,2019-05,6.1,high,"The Korean 'Flexible Rotor Unmanned Aerial System (UAS)' technology likely involves the use of 3D-printed polymer-based shock-responsive materials for the airframe or rotor blades, which is directly equivalent to the US technology."
"피지컬 AI, 온디바이스 AI",2025-12,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,3.1,high,"The Korean technology 'Physical AI, On-device AI' appears to be directly equivalent to the US technology of 'AI algorithms for autonomous systems / Self-driving vehicle software'"
하이나스 2.0 자율운항 시스템,2022-HY2,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean technology 'Hainan 2.0 autonomous navigation system' appears to be a system for autonomous control and navigation of eVTOL/electric aircraft, which matches the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'."
하이로터(Hi-Rotor),2022-08,Additive Manufacturing (3D Printing),2025-08,-3.0,high,"The Korean 'Hi-Rotor' technology appears to be related to 3D printing or additive manufacturing, which is covered in US technology #73."
하이브리드 드론,2019-08,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-4.1,high,"The Korean 'hybrid drone' technology appears to be directly equivalent to the US 'eVTOL aircraft' technology, which refers to electric vertical take-off and landing aircraft."
하이브리드 엔진 시스템,,"Advanced helicopter transmission systems (hybrid gears, multiple-speed transmissions)",2020-06,,high,The Korean technology 'Hybrid Engine System' is directly equivalent to the US technology for 'Advanced helicopter transmission systems' which utilize hybrid gears and multiple-speed transmissions.
"하이브리드 추진시스템, 통합식 전기추진 시스템",2021-08,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,6.8,high,"The Korean technology of 'Hybrid Propulsion System, Integrated Electric Propulsion System' appears to be directly equivalent to the US technology of '100 Gigabit/Second Remote I/O with Software Defined Networking (SDN)', which provides high-speed data networking and remote control capabilities for advanced propulsion systems."
한국형 발전용 가스터빈,2023-07,1K polysiloxane topcoat (organosilane polymer-based aircraft coating),2019-06,4.1,high,"The Korean technology 한국형 발전용 가스터빈 (Korean gas turbine for power generation) likely requires high-performance coatings to withstand the harsh operating environment, which the 1K polysiloxane topcoat could provide."
한국형 위성항법시스템(KPS),2035,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,24.4,high,"The Korean technology 'KPS' is a satellite navigation system, which is directly equivalent to the US technology '3D Ionosphere Modeling; Solar Observation Imaging (STEREO)' which involves modeling the ionosphere and satellite-based solar observation imaging."
항공 소프트웨어 개발 도구,2019-10,Additive Manufacturing (3D Printing),2025-08,-5.8,high,The Korean technology of '항공 소프트웨어 개발 도구' (Aviation Software Development Tools) appears to match the US technology of 'Additive Manufacturing (3D Printing)' which includes the capability of 3D printing for aerospace applications.
항공안전센터,2025-09,Advanced Battle Management System (ABMS),2020-01,5.7,high,"The Korean technology 항공안전센터 (Aviation Safety Center) is likely equivalent to the US Advanced Battle Management System (ABMS), which is a command-and-control system for air operations."
항공통제기,2022-12,400Hz Aircraft Power Lightcart (400 APL),2024-01,-1.1,high,"The Korean technology '항공통제기' refers to an aircraft control system, which is likely equivalent to the US technology '400Hz Aircraft Power Lightcart (400 APL)' which provides power and control systems for aircraft."
해상 원자력 에너지,2024-03,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,4.8,high,"ASCENT is a type of green propellant technology that can be used for spacecraft and missile propulsion, which is directly equivalent to the Korean technology of 'maritime nuclear energy'."
협력 전투 무인기(CCA),2025-06,AI-based UAS mission planning algorithms for swarm coordination and search operations,2019-11,5.6,high,"The Korean technology 'CCA (Cooperation Combat Air)' appears to be an unmanned aerial vehicle (UAV) system, and the US technology 'AI-based UAS mission planning algorithms for swarm coordination and search operations' is a directly equivalent capability for autonomous swarm and search operations of UAVs."
후방지역 사단급이하 전술통신체계,2027-00,Advanced Battle Management System (ABMS),2020-01,6.9,high,"The Korean technology 'Tactical Communication System for Division and Below in Rear Area' is likely equivalent to the US Advanced Battle Management System (ABMS), which is a secure, bi-directional data sharing architecture for tactical communications."
후방지역 위성통신체계,2020-07,AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,8.7,high,"The Korean technology 후방지역 위성통신체계 appears to be equivalent to the US technology AN/AAR-47A/B(V)2 Missile Warning Set, which provides missile warning and hostile fire indication capabilities."
힘센엔진(HiMSEN),2001-01,3D Printing / Additive Manufacturing,2018-03,-17.2,high,"The Korean technology 힘센엔진(HiMSEN) appears to be a type of engine or propulsion system, which could be developed using 3D printing and additive manufacturing techniques."
